index,submit_date,ID,platform,sessionid,blocking,duration,start,subtype,ts,license,parameters.sourceView,parameters.delayDuration,parameters.loadScenesDuration,parameters.updateSceneDuration,parameters.didCompile,parameters.backupScenesDuration,parameters.domainReloadDuration,parameters.noDomainReload,parameters.noSceneReload,parameters.sceneCount,parameters.dirtySceneCount,parameters.scriptDebugInfoEnabled,parameters.autoGenerate,parameters.bakeBackend,parameters.computeRealtime,parameters.computeBaked,parameters.outcome,parameters.indirectResolution,parameters.lightmapResolution,parameters.compressLightmaps,parameters.lightmapSize,parameters.progressive.directSamples,parameters.progressive.indirectSamples,parameters.progressive.bounces,parameters.progressive.prioritizeView,parameters.ambientOcclusion.maxDistance,parameters.progressive.russianRouletteStartBounce,parameters.progressive.minBounces,parameters.fallback,parameters.lightmaps.occupiedTexels,parameters.lightmaps.lightmapCount,parameters.scene.contributingInstanceCount,parameters.scene.meshCount,parameters.scene.totalTriangleCount,parameters.lights.mixedBakeMode,parameters.lights.bakedLightCount,parameters.lights.mixedLightCount,parameters.lights.shadowCastingLightCount,parameters.lights.cookieLightCount,parameters.lights.uniqueCookieCount,parameters.lightProbes.lightProbeGroupCount,parameters.lightProbes.lightProbeCount,parameters.lightProbes.contributingLightProbeLitInstanceCount,parameters.memory.maxTilingModeDuringBake,parameters.lightmapCompression,parameters.enlighten.finalGather.rayCount,parameters.enlighten.finalGather.denoise,used_lighting,bakeBackendflag,hour,sess_duration,sess_duration_h,hour_bin,total_hours,use_category,session_count
906585,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,8783197995654857728,False,8573294.0,2021-10-28 17:39:30.430414500,computeLighting,2021-10-28 17:39:39.004000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,17.0,0 days 00:02:02.973000,0.03,afternoon/evening,168.41,very high,4
920687,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,8262643206070763520,False,13758999.0,2021-10-28 19:00:31.112072600,computeLighting,2021-10-28 19:00:44.871000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,19.0,0 days 02:37:03.189000,2.62,night,168.41,very high,4
920688,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,8783197995654857728,False,11691616.0,2021-10-28 17:37:24.338943700,computeLighting,2021-10-28 17:37:36.031000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,17.0,0 days 00:02:02.973000,0.03,afternoon/evening,168.41,very high,4
967402,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,5888455541594783744,False,11796466.0,2021-10-28 11:54:15.006467500,computeLighting,2021-10-28 11:54:26.802000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,11.0,0 days 00:55:27.546000,0.92,day,168.41,very high,4
972770,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,5888455541594783744,False,8617926.0,2021-10-28 11:39:01.027066900,computeLighting,2021-10-28 11:39:09.644000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,11.0,0 days 00:55:27.546000,0.92,day,168.41,very high,4
978382,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,5888455541594783744,False,8508905.0,2021-10-28 11:15:04.198690600,computeLighting,2021-10-28 11:15:12.707000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,11.0,0 days 00:55:27.546000,0.92,day,168.41,very high,4
981317,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,5888455541594783744,False,9662163.0,2021-10-28 11:42:06.877302400,computeLighting,2021-10-28 11:42:16.539000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,11.0,0 days 00:55:27.546000,0.92,day,168.41,very high,4
993952,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,5888455541594783744,False,20679477.0,2021-10-28 11:11:41.142199600,computeLighting,2021-10-28 11:12:01.821000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,11.0,0 days 00:55:27.546000,0.92,day,168.41,very high,4
998583,2021-10-28 00:00:00.000000000,73i8XZyJ/VH06gpXU1oObIZPCKSjnx8FBg/O96Sb6IY=,WindowsEditor,5888455541594783744,False,11253878.0,2021-10-28 12:00:15.253479300,computeLighting,2021-10-28 12:00:26.507000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,4.0,False,1024.0,4.0,8.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,12.0,0 days 00:55:27.546000,0.92,day,168.41,very high,4
940709,2021-10-28 00:00:00.000000000,7vNVPXoIlQ7exSZpRZ/mXUeJSoeXU5PrGpZ/JOmd13g=,WindowsEditor,9147201421386243072,False,28324540.0,2021-10-28 14:43:59.310940300,computeLighting,2021-10-28 14:44:27.634000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,True,True,interrupted,40.0,25.0,True,2048.0,32.0,512.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,14.0,0 days 00:00:00,0.0,afternoon/evening,0.02,low,2
